routeadmin,generic_route,pred_11,pred_12,all_pred_12,consistency_12,pred_13,pred_14,all_pred_14,consistency_14,pred_15,pred_16,all_pred_16,consistency_16,pred_17,pred_18,all_pred_18,consistency_18,pred_19,pred_20,all_pred_20,consistency_20
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
SubQ,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
PO,oral product,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0
PER NG TUBE,oral product,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'injectable product', 'injectable product']",0.6,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
PO,oral product,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV Push,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
ORAL,oral product,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0
MISC,injectable product,other,other,"['other', 'other', 'other', 'other', 'other']",1.0,other,other,"['other', 'other', 'other', 'other', 'other']",1.0,other,other,"['other', 'other', 'other', 'other', 'other']",1.0,oral product,other,"['other', 'other', 'other', 'other', 'other']",1.0,other,other,"['other', 'other', 'other', 'other', 'other']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
PO,oral product,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
INTRAVENOU,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
SC,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
PO,oral product,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
SWISH,oral product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,injectable product,"['oral product', 'injectable product', 'injectable product', 'oral product', 'injectable product']",0.6,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV Push,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
Oral,oral product,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0
SubQ,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
PO,oral product,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
INTRAVENOU,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
MISC,injectable product,other,other,"['other', 'other', 'other', 'other', 'other']",1.0,other,other,"['other', 'other', 'other', 'other', 'other']",1.0,other,other,"['other', 'other', 'other', 'other', 'other']",1.0,other,other,"['oral product', 'other', 'other', 'other', 'other']",0.8,other,other,"['other', 'other', 'other', 'other', 'other']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
RE,rectal product,rectal product,rectal product,"['rectal product', 'rectal product', 'rectal product', 'rectal product', 'rectal product']",1.0,rectal product,rectal product,"['rectal product', 'rectal product', 'rectal product', 'rectal product', 'rectal product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,rectal product,rectal product,"['rectal product', 'rectal product', 'rectal product', 'rectal product', 'rectal product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV Push,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
PO,oral product,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0
IV,injectable product,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0,oral product,oral product,"['oral product', 'oral product', 'oral product', 'oral product', 'oral product']",1.0,injectable product,injectable product,"['injectable product', 'injectable product', 'injectable product', 'injectable product', 'injectable product']",1.0
